Harga;Kecamatan;KT;KM;LT;LB;Lantai;Furnished;Carport
1800000000;1;3;3;313;100;1;1;0
3500000000;0;3;1;326;400;1;0;0
1900000000;5;3;2;230;185;1;2;0
1500000000;2;3;2;106;95;2;0;0
1800000000;2;3;6;188;150;1;0;0
1500000000;4;3;3;166;180;2;1;1
1000000000;2;3;1;238;125;1;0;0
1500000000;8;3;2;94;100;2;0;0
8000000000;2;27;27;1230;860;1;2;0
1400000000;1;2;3;160;90;1;2;2
1400000000;9;2;1;125;200;2;2;0
1300000000;8;2;1;130;70;1;2;1
4500000000;2;16;16;420;600;2;1;0
4500000000;2;14;14;689;400;1;1;1
1200000000;2;14;4;165;300;3;0;0
2500000000;4;13;4;145;250;2;0;2
3000000000;8;12;12;232;600;3;1;0
6300000000;8;12;12;505;350;1;2;0
17000000000;2;12;12;2021;900;2;0;1
20000000000;8;11;8;485;246;2;1;0
22000000000;8;11;6;485;246;2;0;0
5000000000;2;11;8;418;540;1;0;0
7900000000;5;11;11;1241;350;2;2;0
7800000000;5;10;11;1241;350;1;2;0
7000000000;5;10;10;1240;400;2;2;0
6500000000;7;10;10;500;350;1;2;0
7400000000;5;10;8;1241;550;2;2;1
2000000000;8;10;5;200;371;2;0;0
2000000000;8;10;5;371;200;2;0;0
4900000000;12;1;4;338;250;2;0;0
1600000000;10;1;1;57;80;2;0;0
17000000000;2;9;8;2021;1000;2;0;0
2400000000;5;8;5;288;450;2;0;1
7500000000;6;8;11;489;468;2;0;0
4800000000;0;8;5;800;200;1;0;0
6000000000;8;8;7;734;700;1;0;0
3800000000;2;7;4;600;400;2;0;0
3000000000;1;7;7;650;540;2;0;1
15500000000;8;7;5;910;400;1;0;0
5500000000;7;6;3;600;250;1;1;0
5500000000;3;6;6;345;500;2;0;0
990000000;3;6;2;126;150;2;0;0
1700000000;3;6;2;301;300;2;1;0
2500000000;3;6;4;248;490;3;0;0
3400000000;2;6;5;270;417;2;0;0
4200000000;7;5;4;350;250;1;2;0
3200000000;7;5;4;337;250;2;0;0
18000000000;8;5;2;820;400;1;0;0
1900000000;7;5;1;246;246;1;0;0
10000000000;9;5;3;699;260;1;0;0
1500000000;9;5;2;124;150;1;0;0
13500000000;2;5;2;650;1200;2;0;1
3900000000;2;5;6;300;140;2;2;1
13500000000;2;5;6;650;1200;2;2;0
6500000000;13;5;3;239;324;2;0;0
3000000000;0;5;3;411;365;2;1;0
5500000000;2;5;3;426;260;2;0;0
5400000000;2;5;2;360;1215;1;0;0
13500000000;11;5;5;550;850;2;2;1
1000000000;4;5;1;279;279;1;0;1
